0,1,2,3,4,5,6,7,8,9,10,11
82,SMID,Smith-Midland Corporation,https://stockanalysis.com/stocks/smid/,0.11,359.96,n/a,1995,317.22%,39.90,"31,932",209.78M
83,CAAP,Corporación América Airports S.A.,https://stockanalysis.com/stocks/caap/,0.97,16.67,n/a,2018,308.33%,16.11,"46,643",2.58B
84,ARCH,"Arch Resources, Inc.",https://stockanalysis.com/stocks/arch/,40.85,4.06,$10.66 (6.43%),1988,302.59%,165.77,"57,585",3.05B
85,CELH,"Celsius Holdings, Inc.",https://stockanalysis.com/stocks/celh/,0.48,114.13,n/a,2004,301.41%,54.53,"1,720,443",12.63B
86,SIG,Signet Jewelers Limited,https://stockanalysis.com/stocks/sig/,8.39,12.82,$0.92 (0.85%),1950,301.37%,107.36,"277,317",4.76B
87,ATKR,Atkore Inc.,https://stockanalysis.com/stocks/atkr/,17.27,9.39,n/a,2016,300.61%,160.61,"169,471",5.97B
88,RMBS,Rambus Inc.,https://stockanalysis.com/stocks/rmbs/,2.61,26.21,n/a,1997,298.95%,68.71,"471,198",7.39B
89,BLDR,"Builders FirstSource, Inc.",https://stockanalysis.com/stocks/bldr/,12.00,14.01,n/a,2005,298.33%,167.62,"445,334",20.68B
90,KRUS,"Kura Sushi USA, Inc.",https://stockanalysis.com/stocks/krus/,0.14,543.86,n/a,2019,296.80%,75.98,"31,049",847.80M
91,FIX,"Comfort Systems USA, Inc.",https://stockanalysis.com/stocks/fix/,7.99,25.98,$1.00 (0.48%),1997,293.28%,207.59,"79,072",7.40B
92,BXC,BlueLinx Holdings Inc.,https://stockanalysis.com/stocks/bxc/,11.04,10.27,n/a,2004,292.19%,114.08,"61,765",1.00B
93,CBAY,"CymaBay Therapeutics, Inc.",https://stockanalysis.com/stocks/cbay/,-0.93,n/a,n/a,Sujal A. Shah,289.45%,23.81,"1,064,744",2.70B
94,NVDA,NVIDIA Corporation,https://stockanalysis.com/stocks/nvda/,7.58,65.64,$0.16 (0.03%),1999,285.26%,497.38,"33,218,924","1,228.09B"
95,CLS,Celestica Inc.,https://stockanalysis.com/stocks/cls/,1.68,17.61,n/a,1998,282.79%,29.41,"540,477",4.06B
96,OPXS,"Optex Systems Holdings, Inc",https://stockanalysis.com/stocks/opxs/,0.34,18.73,n/a,1987,280.00%,6.46,"49,178",43.69M
97,GNE,Genie Energy Ltd.,https://stockanalysis.com/stocks/gne/,2.25,12.74,$0.30 (1.07%),Michael M. Stein,279.87%,28.13,"148,195",770.71M
98,SVRA,Savara Inc.,https://stockanalysis.com/stocks/svra/,-0.31,n/a,n/a,"Matthew Pauls J.D., M.B.A.",279.44%,4.76,"338,511",644.90M
99,UFPT,"UFP Technologies, Inc.",https://stockanalysis.com/stocks/ufpt/,5.42,31.69,n/a,1993,277.51%,172.84,"22,385",1.32B
100,LPG,Dorian LPG Ltd.,https://stockanalysis.com/stocks/lpg/,6.33,7.00,$4.00 (9.11%),2014,274.66%,43.90,"395,881",1.78B
81,UAN,"CVR Partners, LP",https://stockanalysis.com/stocks/uan/,24.38,2.73,$26.62 (40.67%),2011,272.33%,18.96,"13,981",697.82M
102,PAM,Pampa Energía S.A.,https://stockanalysis.com/stocks/pam/,0.01,13.64,n/a,1945,268.84%,49.49,"110,929",3.20B
103,LMB,"Limbach Holdings, Inc.",https://stockanalysis.com/stocks/lmb/,1.70,26.91,n/a,2014,268.71%,45.78,"107,088",506.38M
104,MRO,Marathon Oil Corporation,https://stockanalysis.com/stocks/mro/,2.75,8.78,$0.44 (1.82%),1887,267.88%,24.14,"5,624,333",14.12B
105,WIRE,Encore Wire Corporation,https://stockanalysis.com/stocks/wire/,25.67,8.36,$0.08 (0.04%),1992,265.45%,214.51,"37,469",3.38B
106,MPC,Marathon Petroleum Corporation,https://stockanalysis.com/stocks/mpc/,26.77,5.56,$3.30 (2.23%),2011,264.82%,148.28,"1,539,689",56.30B
107,GME,GameStop Corp.,https://stockanalysis.com/stocks/gme/,-0.03,n/a,n/a,2002,264.81%,17.66,"3,326,201",5.40B
108,DFIN,"Donnelley Financial Solutions, Inc.",https://stockanalysis.com/stocks/dfin/,2.72,22.99,n/a,1983,260.06%,62.87,"26,149",1.83B
